datetime,close,high,low,open,vol,obv,rsi,atr,macd
2024-02-15 11:30:00,499.46500,499.62000,499.35001,499.48001,441037,200839072.00000,54.11297,0.46054,0.20037
2024-02-15 11:25:00,499.48001,499.57001,499.12500,499.28500,443236,201280109.00000,54.38097,0.47519,0.21572
2024-02-15 11:20:00,499.28000,499.48001,499.14999,499.23001,590722,200836873.00000,51.40385,0.47752,0.23064
2024-02-15 11:15:00,499.25000,499.40219,499.20999,499.35999,393088,200246151.00000,50.95811,0.48886,0.26669
2024-02-15 11:10:00,499.32010,499.48999,498.85501,499.07999,692621,200639239.00000,51.99288,0.51168,0.31189
2024-02-15 11:05:00,498.92999,499.35989,498.79501,499.25989,1134971,199946618.00000,46.36467,0.50220,0.35789
2024-02-15 11:00:00,499.38000,499.95001,499.35999,499.82001,403742,201081589.00000,53.02336,0.49583,0.45113
2024-02-15 10:55:00,499.82001,499.98999,499.64001,499.82001,357855,201485331.00000,60.97379,0.48858,0.51776
2024-02-15 10:50:00,499.82001,499.89999,499.64999,499.78000,419578,201485331.00000,60.97379,0.49925,0.55047
2024-02-15 10:45:00,499.76999,499.84000,499.51001,499.59500,301219,201065753.00000,60.39167,0.51842,0.58421
2024-02-15 10:40:00,499.59000,499.85001,499.51999,499.82001,484566,200764534.00000,58.31393,0.53291,0.62386
2024-02-15 10:35:00,499.82999,499.89999,499.38000,499.57001,514217,201249100.00000,62.36429,0.54852,0.68374
2024-02-15 10:30:00,499.57999,499.86499,499.29999,499.70001,797607,200734883.00000,59.65355,0.55071,0.72577
2024-02-15 10:25:00,499.69000,500.57001,499.63000,500.41010,618957,201532490.00000,61.46251,0.54962,0.79433
2024-02-15 10:20:00,500.41000,500.51001,499.87000,500.35999,840677,202151447.00000,75.34788,0.51959,0.85907
2024-02-15 10:15:00,500.35001,500.54001,500.09039,500.17999,625604,201310770.00000,74.90927,0.51032,0.85590
2024-02-15 10:10:00,500.17999,500.29001,499.97000,500.13000,606019,200685166.00000,73.67695,0.51499,0.84551
2024-02-15 10:05:00,500.12500,500.14001,499.60010,499.67999,609894,200079147.00000,73.28282,0.52999,0.83727
2024-02-15 10:00:00,499.69009,499.98999,499.51999,499.64990,666501,199469253.00000,69.98229,0.52923,0.82016
2024-02-15 09:55:00,499.64001,499.72009,499.45001,499.59000,432530,198802752.00000,69.58048,0.53378,0.83069
2024-02-15 09:50:00,499.53000,500.38000,499.42969,500.03000,782897,198370222.00000,68.72652,0.55407,0.83713
2024-02-15 09:45:00,500.02139,500.19751,499.57999,499.60999,652664,199153119.00000,77.78295,0.52359,0.84439
2024-02-15 09:40:00,499.62000,500.04501,499.54001,499.89001,716074,198500455.00000,75.31570,0.51636,0.79133
2024-02-15 09:35:00,499.89999,500.07999,499.66000,499.85001,814601,199216529.00000,81.15324,0.51723,0.75297
2024-02-15 09:30:00,499.84500,499.97000,499.26999,499.29001,2063255,198401928.00000,80.88301,0.52472,0.66455
2024-02-14 15:55:00,498.62500,499.07001,498.28000,498.31000,4437277,196338673.00000,72.86958,0.46162,0.54762
2024-02-14 15:50:00,498.31000,498.54001,498.25000,498.32001,1916826,191901396.00000,69.83832,0.43636,0.51464
2024-02-14 15:45:00,498.34000,498.41000,498.01010,498.09000,1170231,193818222.00000,70.53523,0.44761,0.49712
2024-02-14 15:40:00,498.09000,498.21500,497.95001,498.07999,1074844,192647991.00000,68.06953,0.45128,0.46448
2024-02-14 15:35:00,498.08499,498.14001,497.60001,497.63000,941297,191573147.00000,68.01978,0.46561,0.44151
2024-02-14 15:30:00,497.64001,498.13000,497.47009,497.99060,1652435,190631850.00000,63.29891,0.45989,0.40629
2024-02-14 15:25:00,497.99451,498.20999,497.63000,497.66000,1362557,192284285.00000,71.05854,0.44451,0.40072
2024-02-14 15:20:00,497.67999,497.67999,497.41000,497.46011,786347,190921728.00000,67.80729,0.43408,0.35170
2024-02-14 15:15:00,497.45999,497.60999,497.19000,497.21500,1219228,190135381.00000,65.27336,0.44671,0.31604
2024-02-14 15:10:00,497.22009,497.42999,497.02121,497.29001,852641,188916153.00000,62.26599,0.44876,0.28833
2024-02-14 15:05:00,497.28000,497.32001,496.95001,497.14001,1341372,189768794.00000,63.54197,0.45184,0.27318
2024-02-14 15:00:00,497.14001,497.17001,496.60999,496.92001,1552116,188427422.00000,61.84543,0.45813,0.24378
2024-02-14 14:55:00,496.92001,496.95001,496.48001,496.72000,556082,186875306.00000,59.06560,0.45030,0.21697
2024-02-14 14:50:00,496.70999,496.85999,496.59000,496.75000,642319,186319224.00000,56.23935,0.44878,0.20198
2024-02-14 14:45:00,496.85999,496.94000,496.60001,496.85001,406275,186961543.00000,58.93797,0.46253,0.20130
2024-02-14 14:40:00,496.84500,497.00000,496.70001,496.87000,388216,186555268.00000,58.75438,0.47196,0.18223
2024-02-14 14:35:00,496.86011,497.10471,496.66010,496.75000,654098,186943484.00000,59.00133,0.48519,0.15677
2024-02-14 14:30:00,496.74991,496.79999,496.43500,496.70001,515709,186289386.00000,57.79983,0.48831,0.12045
