0,1,2
0.7_1_4_3_0_5_4_32_100_6.keras,"[0.44532665610313416, 0.6477541327476501]","[0.8205724358558655, 0.6984127163887024]"
0.7_1_64_3_0_5_2_16_100_6.keras,"[0.21402795612812042, 0.8891856074333191]","[2.879068613052368, 0.6101694703102112]"
0.7_1_8_1_0_5_1_16_100_6.keras,"[0.5124479532241821, 0.529411792755127]","[0.5069125890731812, 0.6666666865348816]"
0.7_1_8_1_0_5_1_4_100_6.keras,"[0.5136584639549255, 0.7272727489471436]","[0.5040864944458008, 0.692307710647583]"
0.7_1_8_1_0_5_1_64_100_6.keras,"[0.5179360508918762, 0.5555555820465088]","[0.5113746523857117, 0.800000011920929]"
0.7_1_8_1_0_5_4_16_100_6.keras,"[0.45297569036483765, 0.6394557952880859]","[0.6934228539466858, 0.6909090876579285]"
0.7_1_8_2_0_5_1_32_100_6.keras,"[0.5000908374786377, 0.6129032373428345]","[0.5124473571777344, 0.7714285850524902]"
0.7_1_8_2_0_5_1_8_100_6.keras,"[0.4984716773033142, 0.5982142686843872]","[0.5229412913322449, 0.6363636255264282]"
0.7_1_8_2_0_5_3_4_100_6.keras,"[0.48595020174980164, 0.6489796042442322]","[0.537106990814209, 0.75]"
0.7_1_8_2_0_5_4_8_100_6.keras,"[0.4211193323135376, 0.7849740982055664]","[0.9270035028457642, 0.6000000238418579]"
0.7_1_8_3_0_5_1_32_100_6.keras,"[0.4824380576610565, 0.6501901149749756]","[0.5290687084197998, 0.7580645084381104]"
0.7_1_8_3_0_5_1_8_100_6.keras,"[0.48099052906036377, 0.5866666436195374]","[0.6271762251853943, 0.6153846383094788]"
0.7_2_16_2_0_5_1_32_100_6.keras,"[0.4549803137779236, 0.8445945978164673]","[0.7971910834312439, 0.6875]"
0.7_2_32_1_0_5_1_64_100_6.keras,"[0.46797072887420654, 0.7015873193740845]","[0.749147355556488, 0.6875]"
0.7_2_32_1_0_5_1_8_100_6.keras,"[0.4649401605129242, 0.805031418800354]","[0.846623957157135, 0.7096773982048035]"
0.7_2_4_2_0_5_1_8_100_6.keras,"[0.49593284726142883, 0.539170503616333]","[0.5395243167877197, 0.9411764740943909]"
0.7_2_4_2_0_5_4_16_100_6.keras,"[0.5174437165260315, 0.6842105388641357]","[0.5244402885437012, 0.8999999761581421]"
0.7_2_4_3_0_5_2_4_100_6.keras,"[0.5015637874603271, 0.7843137383460999]","[0.522777795791626, 0.75]"
0.7_2_4_3_0_5_4_8_100_6.keras,"[0.5151885151863098, 0.5477706789970398]","[0.527105987071991, 0.8181818127632141]"
0.7_2_8_1_0_5_1_32_100_6.keras,"[0.5034294724464417, 0.4901960790157318]","[0.5110515356063843, 0.800000011920929]"
0.7_2_8_1_0_5_1_8_100_6.keras,"[0.505923330783844, 0.2777777910232544]","[0.5043697357177734, 0.6153846383094788]"
0.7_2_8_3_0_5_2_4_100_6.keras,"[0.4479270577430725, 0.7198443412780762]","[0.7151695489883423, 0.9285714030265808]"
0.7_2_8_3_0_5_2_8_100_6.keras,"[0.4652785360813141, 0.694915235042572]","[0.6091148257255554, 1.0]"
0.7_2_8_3_0_5_3_64_100_6.keras,"[0.4193243682384491, 0.75698322057724]","[3.455169200897217, 0.6363636255264282]"
0.7_3_16_1_0_5_1_32_150_6.keras,"[0.46264004707336426, 0.5549242496490479]","[0.7446329593658447, 0.6333333253860474]"
0.7_3_8_1_0_5_3_64_150_6.keras,"[0.4434734582901001, 0.7342995405197144]","[0.6517963409423828, 0.602150559425354]"
0.7_3_8_2_0_5_1_4_150_6.keras,"[0.4719427227973938, 0.733905553817749]","[0.6370977163314819, 0.6470588445663452]"
0.7_3_8_2_0_5_3_64_150_6.keras,"[0.3974819481372833, 0.7569444179534912]","[0.6515856385231018, 0.604938268661499]"
0.7_3_8_2_0_5_4_64_150_6.keras,"[0.4066357910633087, 0.7296037077903748]","[0.6440680623054504, 0.6081081032752991]"
0.7_3_8_3_0_5_1_8_150_6.keras,"[0.4401004910469055, 0.7451523542404175]","[1.0367913246154785, 0.6438356041908264]"
0.7_3_8_3_0_5_3_16_150_6.keras,"[0.4054131507873535, 0.6425647735595703]","[0.8198546767234802, 0.6349206566810608]"
0.7_3_8_3_0_5_4_64_150_6.keras,"[0.4349890649318695, 0.6428571343421936]","[0.6028571128845215, 0.6144578456878662]"
