0,1,2
0.7_0_4_1_0_5_3_4_100_6.keras,"[0.49457287788391113, 0.58203125]","[0.49824923276901245, 0.36666667461395264]"
0.7_0_4_1_0_5_3_64_100_6.keras,"[0.2100248485803604, 0.9437229633331299]","[1.8080822229385376, 0.3609958589076996]"
0.7_0_4_1_0_5_3_8_100_6.keras,"[0.45567989349365234, 0.6828644275665283]","[0.6852526068687439, 0.49707603454589844]"
0.7_0_4_2_0_5_0_16_100_6.keras,"[0.48733118176460266, 0.5536723136901855]","[0.5602863430976868, 0.4736842215061188]"
0.7_0_4_2_0_5_0_32_100_6.keras,"[0.47274935245513916, 0.607038140296936]","[0.5800871849060059, 0.4457142949104309]"
0.7_0_4_2_0_5_0_4_100_6.keras,"[0.5052294135093689, 0.5463917255401611]","[0.4995708763599396, 0.4937500059604645]"
0.7_0_4_2_0_5_0_64_100_6.keras,"[0.46322521567344666, 0.6566265225410461]","[0.577728271484375, 0.5573770403862]"
0.7_0_4_2_0_5_0_8_100_6.keras,"[0.4968929886817932, 0.0]","[0.5572604537010193, 0.0]"
0.7_0_4_2_0_5_1_16_100_6.keras,"[0.47980520129203796, 0.5789473652839661]","[0.525892436504364, 0.4444444477558136]"
0.7_0_4_2_0_5_1_32_100_6.keras,"[0.471653550863266, 0.6217948794364929]","[0.5306165814399719, 0.4953271150588989]"
0.7_0_4_2_0_5_1_4_100_6.keras,"[0.5090004205703735, 0.5454545617103577]","[0.5076630115509033, 0.42500001192092896]"
0.7_0_4_2_0_5_1_64_100_6.keras,"[0.469404399394989, 0.5915841460227966]","[0.568433940410614, 0.4502924084663391]"
0.7_0_4_2_0_5_1_8_100_6.keras,"[0.4988906979560852, 0.5194805264472961]","[0.49410611391067505, 0.6323529481887817]"
0.7_0_4_2_0_5_2_16_100_6.keras,"[0.4481372833251953, 0.6606060862541199]","[0.55202317237854, 0.530434787273407]"
0.7_0_4_2_0_5_2_32_100_6.keras,"[0.35775667428970337, 0.8151751160621643]","[0.9808183908462524, 0.3855421543121338]"
0.7_0_4_2_0_5_2_4_100_6.keras,"[0.5125967860221863, 0.4861111044883728]","[0.5065606236457825, 0.6309523582458496]"
0.7_0_4_2_0_5_2_64_100_6.keras,"[0.31153634190559387, 0.8294931054115295]","[0.8835840225219727, 0.42105263471603394]"
0.7_0_4_2_0_5_2_8_100_6.keras,"[0.5013250708580017, 0.4653061330318451]","[0.49630093574523926, 0.5]"
0.7_0_4_2_0_5_3_16_100_6.keras,"[0.40842750668525696, 0.8199999928474426]","[0.8870456218719482, 0.4047619104385376]"
0.7_0_4_2_0_5_3_32_100_6.keras,"[0.3260054886341095, 0.8207109570503235]","[1.1325650215148926, 0.3876652121543884]"
0.7_0_4_2_0_5_3_4_100_6.keras,"[0.49182984232902527, 0.0]","[0.5021685361862183, 0.0]"
0.7_0_4_2_0_5_3_64_100_6.keras,"[0.21047893166542053, 0.9334298372268677]","[2.3598055839538574, 0.26865673065185547]"
0.7_0_4_2_0_5_3_8_100_6.keras,"[0.4984363317489624, 0.573369562625885]","[0.5321223735809326, 0.44134077429771423]"
0.7_0_4_3_0_5_0_16_100_6.keras,"[0.49200671911239624, 0.558282196521759]","[0.5033705234527588, 0.5400000214576721]"
0.7_0_4_3_0_5_0_32_100_6.keras,"[0.47305887937545776, 0.5798816680908203]","[0.5443532466888428, 0.4761904776096344]"
0.7_0_4_3_0_5_0_4_100_6.keras,"[0.5118677616119385, 0.4810126721858978]","[0.5044028759002686, 0.6067415475845337]"
0.7_0_4_3_0_5_0_64_100_6.keras,"[0.4680275022983551, 0.5973535180091858]","[0.5554789900779724, 0.4484536051750183]"
0.7_0_4_3_0_5_0_8_100_6.keras,"[0.5085411071777344, 0.4776119291782379]","[0.5052638053894043, 0.4000000059604645]"
