0,1,2
0.7_1_4_3_0_5_4_32_250_3.keras,"[1.7240129709243774, 0.4819277226924896]","[1.7240129709243774, 0.4819277226924896]"
0.7_1_64_3_0_5_2_16_250_3.keras,"[5.160369396209717, 0.45614033937454224]","[5.160369396209717, 0.45614033937454224]"
0.7_1_8_1_0_5_1_16_250_3.keras,"[0.5881025791168213, 0.4026845693588257]","[0.5881025791168213, 0.4026845693588257]"
0.7_1_8_1_0_5_1_4_250_3.keras,"[0.6204531192779541, 0.43817204236984253]","[0.6204531192779541, 0.43817204236984253]"
0.7_1_8_1_0_5_1_64_250_3.keras,"[0.5683934688568115, 0.5027322173118591]","[0.5683934688568115, 0.5027322173118591]"
0.7_1_8_1_0_5_4_16_250_3.keras,"[1.3606287240982056, 0.420560747385025]","[1.3606287240982056, 0.420560747385025]"
0.7_1_8_2_0_5_1_32_250_3.keras,"[0.84665846824646, 0.42907801270484924]","[0.84665846824646, 0.42907801270484924]"
0.7_1_8_2_0_5_1_8_250_3.keras,"[1.007683515548706, 0.45940959453582764]","[1.007683515548706, 0.45940959453582764]"
0.7_1_8_2_0_5_3_4_250_3.keras,"[1.593680500984192, 0.4545454680919647]","[1.593680500984192, 0.4545454680919647]"
0.7_1_8_2_0_5_4_8_250_3.keras,"[2.603372812271118, 0.3640553057193756]","[2.603372812271118, 0.3640553057193756]"
0.7_1_8_3_0_5_1_32_250_3.keras,"[1.0278931856155396, 0.4402654767036438]","[1.0278931856155396, 0.4402654767036438]"
0.7_1_8_3_0_5_1_8_250_3.keras,"[1.1350454092025757, 0.34893617033958435]","[1.1350454092025757, 0.34893617033958435]"
0.7_2_16_2_0_5_1_32_250_3.keras,"[1.8626538515090942, 0.43047618865966797]","[1.8626538515090942, 0.43047618865966797]"
0.7_2_32_1_0_5_1_64_250_3.keras,"[1.2079417705535889, 0.44655582308769226]","[1.2079417705535889, 0.44655582308769226]"
0.7_2_32_1_0_5_1_8_250_3.keras,"[2.1616709232330322, 0.371257483959198]","[2.1616709232330322, 0.371257483959198]"
0.7_2_4_2_0_5_1_8_250_3.keras,"[0.5536015033721924, 0.3513513505458832]","[0.5536015033721924, 0.3513513505458832]"
0.7_2_4_2_0_5_4_16_250_3.keras,"[0.6155111789703369, 0.3993288576602936]","[0.6155111789703369, 0.3993288576602936]"
0.7_2_4_3_0_5_2_4_250_3.keras,"[0.7570742964744568, 0.41825902462005615]","[0.7570742964744568, 0.41825902462005615]"
0.7_2_4_3_0_5_4_8_250_3.keras,"[0.6137566566467285, 0.5777778029441833]","[0.6137566566467285, 0.5777778029441833]"
0.7_2_8_1_0_5_1_32_250_3.keras,"[0.5610491633415222, 0.4329896867275238]","[0.5610491633415222, 0.4329896867275238]"
0.7_2_8_1_0_5_1_8_250_3.keras,"[0.7578495144844055, 0.460317462682724]","[0.7578495144844055, 0.460317462682724]"
0.7_2_8_3_0_5_2_4_250_3.keras,"[1.4964673519134521, 0.39652174711227417]","[1.4964673519134521, 0.39652174711227417]"
0.7_2_8_3_0_5_2_8_250_3.keras,"[0.8922169208526611, 0.34521159529685974]","[0.8922169208526611, 0.34521159529685974]"
0.7_2_8_3_0_5_3_64_250_3.keras,"[4.015684127807617, 0.43510323762893677]","[4.015684127807617, 0.43510323762893677]"
0.7_3_16_1_0_5_1_32_250_3.keras,"[1.2893929481506348, 0.39209726452827454]","[1.2893929481506348, 0.39209726452827454]"
0.7_3_8_1_0_5_3_64_250_3.keras,"[6.2971038818359375, 0.5274725556373596]","[6.2971038818359375, 0.5274725556373596]"
0.7_3_8_2_0_5_1_4_250_3.keras,"[1.168738842010498, 0.4253164529800415]","[1.168738842010498, 0.4253164529800415]"
0.7_3_8_2_0_5_3_64_250_3.keras,"[2.165285110473633, 0.42331287264823914]","[2.165285110473633, 0.42331287264823914]"
0.7_3_8_2_0_5_4_64_250_3.keras,"[2.2015228271484375, 0.4432029724121094]","[2.2015228271484375, 0.4432029724121094]"
0.7_3_8_3_0_5_1_8_250_3.keras,"[1.1646075248718262, 0.3467741906642914]","[1.1646075248718262, 0.3467741906642914]"
0.7_3_8_3_0_5_3_16_250_3.keras,"[1.2334736585617065, 0.46886447072029114]","[1.2334736585617065, 0.46886447072029114]"
0.7_3_8_3_0_5_4_64_250_3.keras,"[1.9471004009246826, 0.4841269850730896]","[1.9471004009246826, 0.4841269850730896]"
